,image_name,cam,moon,celsius,fahr,date
7517,TF_ACULEI_9028_IMAG0044.jpg,,,,,
7518,TF_ACULEI_5263_DSCF5550.jpg,1,,20°C,,2021/06/20
7519,TF_ACULEI_9293_DSCF0093.jpg,1,,13°C,,2021/09/22
7520,TF_ACULEI_15199_DSCF0001.jpg,4,,10°C,50°F,2023/03/23
7521,TF_ACULEI_3842_DSCF4060.jpg,,,,,2021/06/16
7522,TF_ACULEI_11641_DSCF0083.jpg,4,,18°C,64°F,23/07/2022
7523,TF_ACULEI_6288_DSCF6631.jpg,1,,22°C,,2021/06/25
7524,TF_ACULEI_10471_DSCF0278.jpg,4,,1°C,31°F,20/01/2022
7525,TF_ACULEI_10409_IMAG0144.jpg,,,,,
7526,TF_ACULEI_12847_DSCF0341.jpg,4,,8°C,46°F,2022/12/06
7527,TF_ACULEI_8641_DSCF0722.jpg,1,,21°C,,2021/07/28
7528,TF_ACULEI_16241_DSCF0401.jpg,7,,18°C,64°F,29/06/2023
7529,TF_ACULEI_1498_DSCF0139.jpg,,,,,2021/06/01
7530,TF_ACULEI_5552_DSCF5874.jpg,1,,,,2021/06/22
7531,TF_ACULEI_5004_DSCF5291.jpg,1,,20°C,,2021/06/20
7532,TF_ACULEI_14504_DSCF0078.jpg,4,,3°C,37°F,2023/02/03
7533,TF_ACULEI_7012_DSCF7378.jpg,1,,19°C,,2021/06/28
7534,TF_ACULEI_1572_DSCF1461.jpg,1,,,,2021/06/02
7535,TF_ACULEI_11970_DSCF0067.jpg,5,,15°C,59°F,05/09/2022
7536,TF_ACULEI_7945_DSCF0034.jpg,1,,25°C,,2021/07/22
7537,TF_ACULEI_8166_DSCF0255.jpg,,,25°C,,2021/07/22
7538,TF_ACULEI_38_DSCF0017.jpg,,,,42°F,09/01/2021
7539,TF_ACULEI_13238_DSCF0071.jpg,6,,6°C,,07/01/2023
7540,TF_ACULEI_2456_DSCF2466.jpg,1,,18°C,,
7541,TF_ACULEI_611_DSCF0463.jpg,,,11°C,,2021/05/25
7542,TF_ACULEI_10761_IMAG0119.jpg,,,,,
7543,TF_ACULEI_152_DSCF0483.jpg,7,,19°C,66°F,15/02/2021
7544,TF_ACULEI_9782_DSCF0175.jpg,1,,5°C,,2021/11/20
7545,TF_ACULEI_8954_DSCF0002.jpg,1,,20°C,,2021/08/02
7546,TF_ACULEI_8378_DSCF0445.jpg,1,,25°C,,2021/07/24
7547,TF_ACULEI_12636_IMAG0114.jpg,,,,,
7548,TF_ACULEI_8874_DSCF0950.jpg,1,,24°C,,2021/07/30
7549,TF_ACULEI_13988_DSCF0755.jpg,6,,3°C,27°F,23/01/2023
7550,TF_ACULEI_9108_IMAG0063.jpg,,,,,
7551,TF_ACULEI_3389_DSCF3606.jpg,1,,15°C,,2021/06/15
7552,TF_ACULEI_8528_DSCF0603.jpg,1,,21°C,,2021/07/28
7553,TF_ACULEI_10860_DSCF0103.jpg,5,,9°C,48°F,31/03/2022
7554,TF_ACULEI_485_DSCF0318.jpg,1,,117°C,,2021/05/25
7555,TF_ACULEI_1696_DSCF1585.jpg,1,,14°C,,2021/06/02
7556,TF_ACULEI_2275_DSCF2285.jpg,1,,18°C,,2021/06/08
7557,TF_ACULEI_14730_DSCF0203.jpg,4,,,37°F,2023/02/17
7558,TF_ACULEI_7092_DSCF0022.jpg,1,,18°C,,2021/06/30
7559,TF_ACULEI_4152_DSCF4414.jpg,1,,16°C,,2021/06/17
7560,TF_ACULEI_4844_DSCF5115.jpg,1,,,,2021/06/18
7561,TF_ACULEI_10940_IMAG0054.jpg,,,,,
7562,TF_ACULEI_10347_DSCF0133.jpg,4,,4°C,25°F,08/01/2022
7563,TF_ACULEI_1323_DSCF1227.jpg,1,,,,2021/06/01
7564,TF_ACULEI_9077_IMAG0018.jpg,,,,,
7565,TF_ACULEI_15807_DSCF0306.jpg,4,,9°C,48°F,2023/05/11
7566,TF_ACULEI_13303_DSCF0136.jpg,6,,5°C,23°F,11/01/2023
7567,TF_ACULEI_15520_DSCF0193.jpg,4,,,37°F,2023/04/13
7568,TF_ACULEI_14474_DSCF0128.jpg,6,,1°C,33°F,02/02/2023
7569,TF_ACULEI_15081_DSCF0154.jpg,4,,3°C,37°F,2023/03/18
7570,TF_ACULEI_1888_DSCF1862.jpg,1,,15°C,,2021/06/07
7571,TF_ACULEI_13919_DSCF0689.jpg,6,,2°C,29°F,23/01/2023
7572,TF_ACULEI_11525_DSCF0019.jpg,7,,23°C,73°F,30/06/2022
7573,TF_ACULEI_33_DSCF0088.jpg,7,,23°C,73°F,08/01/2021
7574,TF_ACULEI_2743_DSCF2746.jpg,1,,15°C,,2021/06/09
7575,TF_ACULEI_2194_DSCF2204.jpg,1,,18°C,,2021/06/08
7576,TF_ACULEI_11475_DSCF0074.jpg,5,,19°C,66°F,21/06/2022
7577,TF_ACULEI_14524_DSCF0080.jpg,4,,,37°F,2023/02/03
7578,TF_ACULEI_13978_DSCF0745.jpg,6,,3°C,27°F,23/01/2023
7579,TF_ACULEI_6476_DSCF6828.jpg,1,,,,2021/06/26
7580,TF_ACULEI_14668_DSCF0161.jpg,4,,2°C,35°F,2023/02/12
7581,TF_ACULEI_4931_DSCF5211.jpg,1,,20°C,,2021/06/20
7582,TF_ACULEI_6232_DSCF6575.jpg,1,,,,2021/06/25
7583,TF_ACULEI_6315_DSCF6658.jpg,1,,22°C,,2021/06/25
7584,TF_ACULEI_11456_DSCF0054.jpg,5,,24°C,75°F,19/06/2022
7585,TF_ACULEI_15074_DSCF0153.jpg,4,,2°C,35°F,2023/03/16
7586,TF_ACULEI_3418_DSCF3636.jpg,1,,20°C,,2021/06/15
7587,TF_ACULEI_15541_IMAG0137.jpg,,,,,
7588,TF_ACULEI_8955_DSCF0003.jpg,1,,20°C,,2021/08/02
7589,TF_ACULEI_16542_DSCF0021.jpg,6,,17°C,62°F,14/08/2023
7590,TF_ACULEI_14779_DSCF0242.jpg,4,,,42°F,2023/02/19
7591,TF_ACULEI_1723_DSCF1645.jpg,1,,17°C,,2021/06/04
7592,TF_ACULEI_8907_DSCF0983.jpg,1,,,,2021/07/30
7593,TF_ACULEI_349_IMAG0026.jpg,,,,,
7594,TF_ACULEI_6939_DSCF7305.jpg,1,,19°C,,2021/06/28
7595,TF_ACULEI_12808_DSCF0047.jpg,6,,4°C,39°F,30/11/2022
7596,TF_ACULEI_13508_DSCF0261.jpg,6,,,41°F,17/01/2023
7597,TF_ACULEI_219_IMAG0085.jpg,,,,,
7598,TF_ACULEI_11930_DSCF0029.jpg,7,,14°C,57°F,28/08/2022
7599,TF_ACULEI_8960_IMAG0004.jpg,,,,,
7600,TF_ACULEI_3131_DSCF3181.jpg,,,,,2021/06/10
7601,TF_ACULEI_1134_DSCF0990.jpg,1,,,,
7602,TF_ACULEI_5037_DSCF5324.jpg,1,,20°C,,2021/06/20
7603,TF_ACULEI_1590_DSCF1479.jpg,1,,,,2021/06/02
7604,TF_ACULEI_14708_DSCF0194.jpg,4,,,42°F,2023/02/15
7605,TF_ACULEI_479_DSCF0312.jpg,,,11°C,,2021/05/25
7606,TF_ACULEI_10472_DSCF0279.jpg,4,,1°C,31°F,20/01/2022
7607,TF_ACULEI_5379_DSCF0391.jpg,2,,,,2021/06/20
7608,TF_ACULEI_4575_DSCF4838.jpg,,,,,2021/06/18
7609,TF_ACULEI_6461_DSCF6813.jpg,,,21°C,,2021/06/26
7610,TF_ACULEI_14662_DSCF0155.jpg,4,,3°C,27°F,2023/02/12
7611,TF_ACULEI_4836_DSCF5107.jpg,1,,18°C,,2021/06/18
7612,TF_ACULEI_2729_DSCF0247.jpg,2,,,,2021/06/08
7613,TF_ACULEI_13769_DSCF0129.jpg,5,,,32°F,21/01/2023
7614,TF_ACULEI_11042_DSCF0057.jpg,,,,,
7615,TF_ACULEI_9684_DSCF0027.jpg,1,,17°C,,2021/11/14
7616,TF_ACULEI_9467_DSCF0282.jpg,1,,,,2021/10/11
7617,TF_ACULEI_3220_DSCF3268.jpg,1,,,,
7618,TF_ACULEI_15794_DSCF0290.jpg,4,,11°C,51°F,2023/05/11
7619,TF_ACULEI_2891_DSCF2941.jpg,1,,,,2021/06/10
7620,TF_ACULEI_12483_DSCF0062.jpg,,,,,02/11/2022
7621,TF_ACULEI_15631_DSCF0277.jpg,4,,16°C,60°F,2023/04/23
7622,TF_ACULEI_16128_DSCF0096.jpg,4,,15°C,59°F,2023/06/16
7623,TF_ACULEI_470_DSCF0303.jpg,1,,11°C,,2021/05/25
7624,TF_ACULEI_3920_DSCF4138.jpg,1,,,,2021/06/16
7625,TF_ACULEI_12037_DSCF0039.jpg,5,,9°C,48°F,21/09/2022
7626,TF_ACULEI_15432_DSCF0150.jpg,4,,4°C,39°F,2023/04/08
7627,TF_ACULEI_3904_DSCF4122.jpg,1,,,,2021/06/16
7628,TF_ACULEI_14503_DSCF0077.jpg,4,,3°C,37°F,2023/02/03
7629,TF_ACULEI_6696_DSCF7060.jpg,1,,18°C,,2021/06/27
7630,TF_ACULEI_2283_DSCF2293.jpg,1,,,,2021/06/08
7631,TF_ACULEI_16264_DSCF0216.jpg,4,,17°C,62°F,2023/07/02
7632,TF_ACULEI_2437_DSCF2447.jpg,1,,18°C,,2021/06/08
7633,TF_ACULEI_1651_DSCF1540.jpg,1,,15°C,,2021/06/02
7634,TF_ACULEI_4778_DSCF5049.jpg,1,,18°C,,2021/06/18
7635,TF_ACULEI_1825_DSCF1776.jpg,1,,16°C,,2021/06/07
7636,TF_ACULEI_953_DSCF0809.jpg,1,,16°C,,2021/05/27
7637,TF_ACULEI_16704_DSCF0075.jpg,6,,17°C,62°F,14/09/2023
7638,TF_ACULEI_594_DSCF0446.jpg,,,,,2021/05/25
7639,TF_ACULEI_10546_DSCF0384.jpg,4,,,41°F,04/02/2022
7640,TF_ACULEI_2552_DSCF2560.jpg,1,,18°C,,2021/06/08
7641,TF_ACULEI_13310_DSCF0150.jpg,6,,6°C,,11/01/2023
7642,TF_ACULEI_5696_DSCF6018.jpg,,,,,2021/06/22
7643,TF_ACULEI_151_DSCF0469.jpg,7,,16°C,60°F,14/02/2021
7644,TF_ACULEI_7416_IMAG0018.jpg,,,,,
7645,TF_ACULEI_4080_DSCF4302.jpg,1,,17°C,,2021/06/16
7646,TF_ACULEI_8531_DSCF0606.jpg,1,,21°C,,2021/07/28
7647,TF_ACULEI_9185_IMAG0061.jpg,,,,,
7648,TF_ACULEI_2148_DSCF2153.jpg,1,,,,2021/06/08
7649,TF_ACULEI_1719_DSCF0154.jpg,CAN2,,,,
7650,TF_ACULEI_2739_DSCF2737.jpg,1,,15°C,,2021/06/09
